"","location","date","new_cases"
"461","Gambia",2021-06-20,0
"462","Gambia",2021-06-21,21
"463","Gambia",2021-06-22,0
"464","Gambia",2021-06-23,0
"465","Gambia",2021-06-24,9
"466","Gambia",2021-06-25,11
"467","Gambia",2021-06-26,4
"468","Gambia",2021-06-27,0
"469","Gambia",2021-06-28,0
"470","Gambia",2021-06-29,10
"471","Gambia",2021-06-30,0
"472","Gambia",2021-07-01,0
"473","Gambia",2021-07-02,0
"474","Gambia",2021-07-03,0
"475","Gambia",2021-07-04,0
"476","Gambia",2021-07-05,37
"477","Gambia",2021-07-06,0
"478","Gambia",2021-07-07,0
"479","Gambia",2021-07-08,67
"480","Gambia",2021-07-09,0
"481","Gambia",2021-07-10,99
"482","Gambia",2021-07-11,0
"483","Gambia",2021-07-12,46
"484","Gambia",2021-07-13,86
"485","Gambia",2021-07-14,107
"486","Gambia",2021-07-15,89
"487","Gambia",2021-07-16,0
"488","Gambia",2021-07-17,0
"489","Gambia",2021-07-18,310
"490","Gambia",2021-07-19,0
"491","Gambia",2021-07-20,0
"492","Gambia",2021-07-21,0
"493","Gambia",2021-07-22,241
"494","Gambia",2021-07-23,0
"495","Gambia",2021-07-24,172
"496","Gambia",2021-07-25,0
"497","Gambia",2021-07-26,0
"498","Gambia",2021-07-27,0
"499","Gambia",2021-07-28,376
"500","Gambia",2021-07-29,0
"501","Gambia",2021-07-30,0
"502","Gambia",2021-07-31,0
"503","Gambia",2021-08-01,0
"504","Gambia",2021-08-02,0
"505","Gambia",2021-08-03,587
"506","Gambia",2021-08-04,96
"507","Gambia",2021-08-05,113
"508","Gambia",2021-08-06,0
"509","Gambia",2021-08-07,98
"510","Gambia",2021-08-08,0
"511","Gambia",2021-08-09,0
"512","Gambia",2021-08-10,0
"513","Gambia",2021-08-11,317
"514","Gambia",2021-08-12,0
"515","Gambia",2021-08-13,0
"516","Gambia",2021-08-14,0
"517","Gambia",2021-08-15,275
"518","Gambia",2021-08-16,0
"519","Gambia",2021-08-17,0
"520","Gambia",2021-08-18,123
"521","Gambia",2021-08-19,0
"522","Gambia",2021-08-20,46
"523","Gambia",2021-08-21,0
"524","Gambia",2021-08-22,75
"525","Gambia",2021-08-23,31
"526","Gambia",2021-08-24,0
"527","Gambia",2021-08-25,0
"528","Gambia",2021-08-26,63
"529","Gambia",2021-08-27,0
"530","Gambia",2021-08-28,0
"531","Gambia",2021-08-29,93
"532","Gambia",2021-08-30,72
"533","Gambia",2021-08-31,0
"534","Gambia",2021-09-01,17
"535","Gambia",2021-09-02,0
"536","Gambia",2021-09-03,21
"537","Gambia",2021-09-04,0
"538","Gambia",2021-09-05,0
"539","Gambia",2021-09-06,53
"540","Gambia",2021-09-07,0
"541","Gambia",2021-09-08,0
"542","Gambia",2021-09-09,31
"543","Gambia",2021-09-10,0
"544","Gambia",2021-09-11,0
"545","Gambia",2021-09-12,28
"546","Gambia",2021-09-13,0
"547","Gambia",2021-09-14,0
"548","Gambia",2021-09-15,19
"549","Gambia",2021-09-16,0
"550","Gambia",2021-09-17,0
"551","Gambia",2021-09-18,0
"552","Gambia",2021-09-19,21
"553","Gambia",2021-09-20,0
"554","Gambia",2021-09-21,12
"555","Gambia",2021-09-22,0
"556","Gambia",2021-09-23,1
"557","Gambia",2021-09-24,10
"558","Gambia",2021-09-25,0
"559","Gambia",2021-09-26,19
"560","Gambia",2021-09-27,0
"561","Gambia",2021-09-28,0
"562","Gambia",2021-09-29,4
"563","Gambia",2021-09-30,0
"564","Gambia",2021-10-01,1
"565","Gambia",2021-10-02,0
"566","Gambia",2021-10-03,0
"567","Gambia",2021-10-04,0
"568","Gambia",2021-10-05,0
"569","Gambia",2021-10-06,4
"570","Gambia",2021-10-07,0
"571","Gambia",2021-10-08,0
"572","Gambia",2021-10-09,0
